time,value
0,10
106000,10
126000,10
146000,10
166000,10
186000,10
206000,10
226000,10
246000,10
266000,10
286000,10
566000,0
606000,10
616000,10
626000,10
636000,10
646000,10
656000,10
666000,10
676000,10
686000,10
696000,10
706000,10
716000,10
726000,10
736000,10
746000,10
756000,10
766000,10
776000,10
786000,10
796000,10
806000,10
816000,10
826000,10
836000,10
846000,10
856000,10
866000,10
876000,10
886000,10
896000,10
906000,10
916000,10
926000,10
936000,10
946000,10
956000,10
966000,10
976000,10
986000,10
996000,10
