time,value
0,0
135000,100
155000,1000
175000,1100
195000,10000
215000,0
235000,100
255000,1000
275000,1100
295000,10000
575000,0
615000,10101010
625000,1010101
635000,10101010
645000,1010101
655000,10101010
665000,1010101
675000,10101010
685000,1010101
695000,10101010
705000,1010101
715000,10101010
725000,1010101
735000,10101010
745000,1010101
755000,10101010
765000,1010101
775000,10101010
785000,1010101
795000,10101010
805000,1010101
815000,10101010
825000,1010101
835000,10101010
845000,1010101
855000,10101010
865000,1010101
875000,10101010
885000,1010101
895000,10101010
905000,1010101
915000,10101010
925000,1010101
935000,10101010
945000,1010101
955000,10101010
965000,1010101
975000,10101010
985000,1010101
995000,10101010
